,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
70,CLT,"Charlotte, NC: Charlotte Douglas International",13594.0,1193.0,399.53,36.05,453.95,6.0600000000000005,297.39,63.0,9.0,84434.0,34582.0,6994.0,13888.0,229.0,28741.0
71,CMH,"Columbus, OH: John Glenn Columbus International",1869.0,225.0,92.11,3.23,71.61,1.0,57.03,14.0,2.0,11227.0,4986.0,157.0,2536.0,39.0,3509.0
72,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",88.0,10.0,3.53,0.16,3.88,0.0,2.43,0.0,0.0,473.0,119.0,9.0,109.0,0.0,236.0
73,CMX,"Hancock/Houghton, MI: Houghton County Memorial",62.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0
74,CNY,"Moab, UT: Canyonlands Field",31.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,62.0,26.0,0.0,0.0,0.0,36.0
75,COD,"Cody, WY: Yellowstone Regional",50.0,7.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,207.0,113.0,0.0,0.0,0.0,94.0
76,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",615.0,89.0,55.43,3.0,10.879999999999999,0.0,19.69,2.0,1.0,6167.0,3612.0,232.0,566.0,0.0,1757.0
77,COU,"Columbia, MO: Columbia Regional",59.0,5.0,0.0,0.08,3.5,0.0,1.42,0.0,0.0,392.0,0.0,10.0,172.0,0.0,210.0
78,CPR,"Casper, WY: Casper/Natrona County International",171.0,13.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,800.0,718.0,0.0,0.0,0.0,82.0
79,CRP,"Corpus Christi, TX: Corpus Christi International",239.0,33.0,10.149999999999999,0.88,8.66,0.0,13.3,2.0,0.0,1077.0,380.0,29.0,236.0,0.0,432.0
80,CRW,"Charleston/Dunbar, WV: Yeager",198.0,20.0,13.21,1.99,3.58,0.0,1.22,1.0,0.0,860.0,571.0,149.0,91.0,0.0,49.0
81,CSG,"Columbus, GA: Columbus Airport",99.0,6.0,2.45,0.97,2.58,0.0,0.0,0.0,0.0,162.0,74.0,33.0,55.0,0.0,0.0
82,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",2117.0,250.0,83.19,6.92,86.66,0.32,72.91,13.0,1.0,13237.0,4994.0,275.0,2974.0,7.0,4987.0
83,CWA,"Mosinee, WI: Central Wisconsin",116.0,16.0,7.0200000000000005,0.43,6.390000000000001,0.0,2.16,3.0,0.0,857.0,352.0,9.0,257.0,0.0,239.0
